CustomerID,Recency,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,Cluster
12346.0,5149,2,2.08,1,3,4,134,2
12347.0,4826,7,481.21,4,1,1,411,1
12348.0,4899,4,178.71,2,2,2,222,1
12349.0,4842,1,605.1,3,4,1,341,0
12350.0,5134,1,65.3,1,4,3,143,2
12352.0,4860,11,2211.1,3,1,1,311,1
12353.0,5028,1,24.299999999999997,1,4,4,144,2
12354.0,5056,1,261.22,1,4,2,142,2
12355.0,5038,1,54.65,1,4,3,143,2
12356.0,4846,3,188.87,3,3,2,332,0
12357.0,4857,1,438.67,3,4,1,341,0
12358.0,4825,2,157.21,4,3,2,432,0
12359.0,4831,6,2225.11,4,1,1,411,1
12360.0,4876,3,457.90999999999997,2,3,1,231,1
12361.0,5111,1,33.35,1,4,4,144,2
12362.0,4827,13,1083.29,4,1,1,411,1
12363.0,4933,2,53.17,2,3,3,233,2
12364.0,4831,4,162.37,4,2,2,422,1
12365.0,5115,3,698.0,1,3,1,131,2
12367.0,4828,1,35.2,4,4,4,444,0
12370.0,4875,4,467.65,2,2,1,221,1
12371.0,4868,2,244.08,3,3,2,332,0
12372.0,4895,3,156.07,2,3,2,232,2
12373.0,5135,1,64.15,1,4,3,143,2
12374.0,4849,1,139.25,3,4,2,342,0
12375.0,4826,3,119.60000000000001,4,3,3,433,0
12377.0,5139,2,209.35,1,3,2,132,2
12378.0,4953,1,656.44,2,4,1,241,2
12379.0,4905,3,116.6,2,3,3,233,2
12380.0,4845,5,355.63,3,2,1,321,1
12381.0,4828,6,417.04,4,1,1,411,1
12383.0,5008,6,309.36,1,1,1,111,1
12384.0,4852,3,227.27,3,3,2,332,0
12386.0,5161,2,23.91,1,3,4,134,2
12388.0,4839,6,277.77,4,1,2,412,1
12390.0,4903,1,127.9,2,4,3,243,2
12391.0,4845,1,245.99,3,4,2,342,0
12393.0,4896,4,145.9,2,2,2,222,1
12394.0,4887,2,91.00999999999999,2,3,3,233,2
12395.0,4839,15,629.59,4,1,1,411,1
12397.0,4859,2,437.0,3,3,1,331,1
12398.0,4869,1,169.38,3,4,2,342,0
12399.0,4943,4,124.75999999999999,2,2,3,223,2
12401.0,5127,1,48.4,1,4,4,144,2
12402.0,5147,1,36.2,1,4,4,144,2
12403.0,4873,2,53.400000000000006,3,3,3,333,0
12405.0,4972,1,191.39000000000001,1,4,2,142,2
12406.0,4845,3,305.99,3,3,1,331,1
12407.0,4873,5,251.59,3,2,2,322,1
12408.0,4856,9,353.48,3,1,1,311,1
12409.0,4902,7,402.04,2,1,1,211,1
12410.0,5125,3,176.97,1,3,2,132,2
12412.0,4898,3,165.54,2,3,2,232,2
12413.0,4890,5,210.29,2,2,2,222,1
12414.0,5041,3,154.26,1,3,2,132,2
12415.0,4848,26,2499.82,3,1,1,311,1
12417.0,4827,12,1074.23,4,1,1,411,1
12418.0,4936,1,121.19,2,4,3,243,2
12420.0,4887,1,136.51,2,4,2,242,2
12421.0,4839,5,204.18,4,2,2,422,1
12422.0,4919,3,127.15,2,3,3,233,2
12423.0,4824,9,365.05,4,1,1,411,1
12424.0,4986,2,83.42,1,3,3,133,2
12425.0,4902,1,92.32,2,4,3,243,2
12426.0,5018,1,118.09,1,4,3,143,2
12427.0,4835,5,161.17,4,2,2,422,1
12428.0,4849,12,1418.79,3,1,1,311,1
12429.0,4833,4,352.18,4,2,1,421,1
12430.0,4867,1,68.48,3,4,3,343,0
12431.0,4859,18,902.0,3,1,1,311,1
12432.0,4866,5,1139.49,3,2,1,321,1
12433.0,4824,7,920.95,4,1,1,411,1
12434.0,4908,4,198.13,2,2,2,222,1
12435.0,4903,2,197.25,2,3,2,232,2
12436.0,4923,1,84.28,2,4,3,243,2
12437.0,4825,19,809.45,4,1,1,411,1
12438.0,4838,2,381.7,4,3,1,431,1
12441.0,5190,1,40.71,1,4,4,144,2
12442.0,4827,1,40.08,4,4,4,444,0
12444.0,4845,5,1119.1299999999999,3,2,1,321,1
12445.0,4845,1,31.95,3,4,4,344,0
12446.0,4881,1,248.1,2,4,2,242,2
12447.0,5067,1,92.93,1,4,3,143,2
12448.0,4868,1,130.94,3,4,2,342,0
12449.0,4846,4,705.69,3,2,1,321,1
12450.0,4980,2,12.94,1,3,4,134,2
12451.0,4834,6,868.18,4,1,1,411,1
12452.0,4840,3,99.67,4,3,3,433,0
12453.0,4958,1,102.91,2,4,3,243,2
12454.0,4877,2,218.46,2,3,2,232,2
12455.0,4897,6,285.6,2,1,2,212,1
12456.0,4868,4,461.37,3,2,1,321,1
12457.0,4882,12,352.37,2,1,1,211,1
12458.0,4895,2,164.4,2,3,2,232,2
12461.0,4918,2,149.06,2,3,2,232,2
12462.0,4826,4,332.42,4,2,1,421,1
12463.0,4870,7,269.91,3,1,2,312,1
12464.0,4834,8,343.15,4,1,1,411,1
12465.0,4831,3,138.02,4,3,2,432,0
12468.0,4967,3,139.07,2,3,2,232,2
